,datetime,lake,total_rch,dryland_rch,irr_rch,hill_maungawera,hill_flat_west,hill_flat_east,hill_terrace_east,hill_south_east,hill_total
0,2000-09-27,342.76166,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
1,1980-07-23,342.76166,0.00022176767917482656,0.00021093713166456303,0.00023082501883860232,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
2,1980-07-30,342.76166,0.00017021498523326806,0.00016462934569436833,0.00017488612808135527,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
3,1980-08-06,342.76166,0.0004053826455772626,0.0003756703891016719,0.0004302303274532586,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
4,1980-08-13,342.76166,0.0009442590938113071,0.0008602868288058425,0.0010144831822771997,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
5,1980-08-20,342.76166,0.004000229038996399,0.0035958653559592596,0.004338389157079659,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
6,1980-08-27,342.76166,0.0013341688710434665,0.0012105075661922027,0.001437583997586919,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
7,1980-09-03,342.76166,0.0013785168732053708,0.0012460089978100326,0.0014893301847621137,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
8,1980-09-10,342.76166,0.0005501771261782093,0.0005227158238983622,0.0005731423864407958,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
9,1980-09-17,342.76166,0.001083190814720525,0.0010011476384692566,0.001151801650294929,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
10,1980-09-24,342.76166,0.0017955003501413228,0.00163970236521596,0.0019257906486760507,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
11,1980-10-01,342.76166,0.00033778687678471934,0.0003326578961882546,0.00034207612618301545,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
12,1980-10-08,342.76166,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
13,1980-10-15,342.76166,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
14,1980-10-22,342.76166,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
15,1980-10-29,342.76166,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
16,1980-11-05,342.76166,0.00023870520593782671,9.051039356032442e-05,0.0003626371448214568,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
17,1980-11-12,342.76166,0.00015713037464395064,9.051039356032442e-05,0.00021284314415072252,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
18,1980-11-19,342.76166,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
19,1980-11-26,342.76166,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
20,1980-12-03,342.76166,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
21,1980-12-10,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
22,1980-12-17,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
23,1980-12-24,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
24,1980-12-31,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
25,1981-01-07,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
26,1981-01-14,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
27,1981-01-21,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
28,1981-01-28,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
29,1981-02-04,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
30,1981-02-11,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
31,1981-02-18,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
32,1981-02-25,342.76166,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
33,1981-03-04,342.76166,8.078771208137588e-05,9.051039356032442e-05,7.265685549130923e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
34,1981-03-11,342.76166,0.0017278094832439577,0.0001417936246061465,0.003054158343287027,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
35,1981-03-18,342.76166,0.00010404320117346525,9.051039356032442e-05,0.00011536037927931369,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
36,1981-03-25,342.76166,8.078771208137588e-05,9.051039356032442e-05,7.265685549130923e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
37,1981-04-01,342.76166,8.877850150713165e-05,9.051039356032442e-05,8.733015971536223e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
38,1981-04-08,342.76166,8.078771208137588e-05,9.051039356032442e-05,7.265685549130923e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
39,1981-04-15,342.76166,8.078771208137588e-05,9.051039356032442e-05,7.265685549130923e-05,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
