,date,ca12_0100,ca13_0101,ca13_0106,ca13_0107,ca13_0115,ca13_0116,ca13_0119,ca13_0122,ca13_0124,ca13_0127,f40_0114,f40_0122,f40_0185,f40_0186,f40_0188,f40_0192,f40_0199,f40_0228,f40_0263,f40_0277,f40_0396,g40_0005,g40_0006,g40_0008,g40_0013,g40_0014,g40_0016,g40_0019,g40_0023,g40_0024,g40_0026,g40_0032,g40_0033,g40_0035,g40_0036,g40_0038,g40_0039,g40_0041,g40_0046,g40_0048,g40_0052,g40_0054,g40_0101,g40_0102,g40_0108,g40_0117,g40_0120,g40_0122,g40_0127,g40_0128,g40_0129,g40_0130,g40_0131,g40_0132,g40_0138,g40_0139,g40_0140,g40_0144,g40_0146,g40_0147,g40_0158,g40_0160,g40_0162,g40_0163,g40_0165,g40_0167,g40_0170,g40_0173,g40_0178,g40_0181,g40_0182,g40_0183,g40_0184,g40_0186,g40_0195,g40_0198,g40_0200,g40_0203,g40_0204,g40_0205,g40_0208,g40_0210,g40_0214,g40_0218,g40_0219,g40_0226,g40_0227,g40_0230,g40_0236,g40_0242,g40_0249,g40_0253,g40_0257,g40_0261,g40_0264,g40_0271,g40_0272,g40_0274,g40_0275,g40_0277,g40_0280,g40_0290,g40_0293,g40_0294,g40_0295,g40_0296,g40_0298,g40_0306,g40_0308,g40_0309,g40_0310,g40_0311,g40_0325,g40_0327,g40_0330,g40_0332,g40_0334,g40_0338,g40_0339,g40_0340,g40_0345,g40_0352,g40_0357,g40_0358,g40_0366,g40_0367,g40_0368,g40_0371,g40_0373,g40_0381,g40_0382,g40_0385,g40_0387,g40_0388,g40_0389,g40_0395,g40_0396,g40_0400,g40_0401,g40_0403,g40_0404,g40_0405,g40_0406,g40_0407,g40_0408,g40_0409,g40_0412,g40_0413,g40_0415,g40_0416,g40_0417,g40_0422,g40_0424,g40_0430,g40_0434,g40_0435,g40_0441,g40_0442,g41_0119
0,2000-09-27,297.68076,-888.0,297.45197,319.1149,297.90146,298.4255,320.6056,321.00342,297.0045,325.95477,306.83084,338.69733,344.7695,340.21753,295.41418,312.6001,345.92038,287.09662,338.916,343.11972,345.82803,320.6746,321.21317,-888.0,-888.0,320.6746,327.4897,324.78485,322.55692,322.18488,342.6742,363.1321,321.15967,321.11307,321.0296,310.45624,-888.0,322.90732,319.94464,322.80283,321.2095,298.38315,320.05374,320.36334,292.30246,320.97635,321.52252,320.27255,329.37384,301.44516,328.27814,320.62,320.73047,320.6095,308.8133,320.663,321.79898,303.6346,-888.0,320.6095,321.06836,320.67883,321.44614,330.88477,321.06787,321.0296,317.04874,314.24243,332.68246,329.98376,296.05502,358.4391,321.72165,321.02408,320.62595,320.93213,321.0296,318.11423,329.63776,320.64832,323.57703,320.66855,321.06787,343.61014,297.29462,300.9978,329.21414,323.3031,248.94911,321.0074,321.33685,293.97028,322.11475,319.7197,320.05374,322.33157,321.0296,299.3298,321.06497,319.76907,320.76733,319.58505,316.35382,297.66547,297.72305,295.7649,301.5203,294.70453,298.03467,298.8303,321.79547,322.2707,297.08246,290.38248,270.11316,270.11316,270.11316,306.0783,304.36588,270.59576,342.69455,320.87466,270.39716,271.4671,272.39096,320.73047,332.68246,255.17955,321.73337,310.54507,310.59787,320.5641,320.73047,297.0117,296.94833,300.11026,300.16122,320.7104,321.36478,301.9256,299.57022,298.5923,321.4887,320.01855,322.52814,322.13983,319.04904,330.2321,331.03766,323.72653,-888.0,272.39096,321.75943,321.77872,322.0361,353.44226,320.43585,303.42197,322.80283
1,1980-07-23,297.69354,-888.0,297.77725,319.13477,298.1725,298.70422,320.77863,321.06433,297.05527,325.96378,306.80292,338.6378,344.7516,340.2138,295.48343,312.57986,345.91504,287.09027,338.86597,343.11627,345.8237,320.68304,321.2053,-888.0,-888.0,320.68304,328.42773,324.79758,322.55942,322.1861,344.23343,352.74966,321.1545,321.1104,321.02676,310.4551,-888.0,323.05676,320.03027,322.79993,321.2069,298.39365,320.05087,320.37,292.32605,320.98267,321.60916,320.2755,329.36813,301.4444,328.3225,320.6301,320.7325,320.6167,309.1436,320.65988,321.88385,303.5672,-888.0,320.6167,321.0684,320.67612,321.4957,331.50595,321.06232,321.02676,317.03214,314.17703,333.4399,330.0487,296.11057,358.6179,321.76425,321.02698,320.62668,320.96915,321.02676,318.27505,329.67233,320.66586,323.57227,320.6707,321.06232,343.62238,297.6176,301.3281,329.27332,323.5152,248.82808,320.99774,321.33026,294.16095,322.11343,319.8323,320.05087,322.33203,321.02676,299.26004,321.0743,319.9501,320.7708,319.66367,316.33066,297.85126,297.72018,295.83807,301.71442,294.69455,298.31854,299.31134,321.95203,322.40677,297.28827,293.2436,270.16016,270.16016,270.16016,306.48853,304.73273,270.61328,344.26242,320.8767,270.57043,271.52707,272.40027,320.7325,333.4399,255.17714,321.81976,310.84628,310.8677,320.57947,320.7325,297.2404,297.18158,300.0916,300.085,320.7461,321.37225,301.7952,299.5409,298.71243,321.65448,320.1279,322.52615,322.1441,319.12048,331.22998,331.29135,323.91177,-888.0,272.40027,321.8089,321.77908,322.03757,353.34,320.42978,303.2827,322.79993
2,1980-07-30,297.7118,-888.0,298.0838,319.2312,298.41113,298.95197,321.07977,321.26352,297.15723,326.07706,306.7642,338.56863,344.72742,340.2024,295.54462,312.541,345.8998,287.08807,338.80045,343.1263,345.80988,320.68713,321.20035,-888.0,-888.0,320.68713,329.12585,324.90616,322.59448,322.2065,345.04214,347.27698,321.1515,321.10925,321.0257,310.45132,-888.0,323.47357,320.1959,322.80032,321.2098,298.3844,320.06116,320.38098,292.4174,320.98672,321.76187,320.28476,329.3564,301.44238,328.59622,320.63522,320.7342,320.62106,309.40353,320.65973,322.00195,303.52576,-888.0,320.62106,321.069,320.67612,321.68777,332.146,321.05972,321.0257,317.0054,314.1158,334.0919,330.42084,296.1674,359.66013,321.923,321.02927,320.62805,321.12164,321.0257,318.51968,329.92203,320.68002,323.56296,320.6726,321.05972,343.85922,297.87607,301.56052,329.60577,323.9118,248.92525,320.99414,321.32465,294.34402,322.11975,320.03696,320.06116,322.35345,321.0257,299.28802,321.08975,320.23157,320.77292,319.85254,316.28427,298.0385,297.71835,295.95746,301.8625,294.766,298.56198,299.67242,322.23843,322.68542,297.50845,293.56757,270.24155,270.24155,270.24155,306.73938,304.98477,270.65756,345.05936,320.87817,270.75806,271.6267,272.42798,320.7342,334.0919,255.16458,321.91693,311.1049,311.1137,320.591,320.7342,297.4802,297.42474,300.203,300.147,320.75378,321.39502,301.80603,299.63138,298.8841,321.99234,320.36032,322.53955,322.17368,319.2936,331.89624,331.88248,324.37097,-888.0,272.42798,321.87726,321.78983,322.05676,353.36667,320.43216,303.3251,322.80032
3,1980-08-06,297.8094,-888.0,298.04868,319.36328,298.34372,298.88815,321.19217,321.42938,297.29214,326.24332,306.80856,338.6235,344.7352,340.192,295.6019,312.5493,345.89703,287.22,338.83923,343.14923,345.80463,320.68784,321.2074,-888.0,-888.0,320.68784,329.21494,325.05618,322.65378,322.24118,344.75198,346.77948,321.1591,321.1169,321.03342,310.44888,-888.0,323.68854,320.29398,322.81912,321.24567,298.37863,320.06714,320.38342,292.52008,320.99118,321.82977,320.28815,329.37708,301.44235,328.89005,320.63452,320.73926,320.62216,309.30542,320.66736,322.03067,303.67233,-888.0,320.62216,321.0762,320.68365,321.86786,332.32828,321.06778,321.03342,316.98383,314.16724,334.2422,330.78305,296.24454,362.1318,322.08777,321.03552,320.6332,321.2817,321.03342,318.59326,330.2627,320.67688,323.55945,320.6772,321.06778,344.62933,297.76184,301.5152,329.9357,324.08997,248.95879,321.00287,321.33066,294.3637,322.13974,320.14337,320.06714,322.3926,321.03342,299.51096,321.0974,320.3166,320.7773,319.98422,316.26068,298.07004,297.72797,296.03018,301.85992,294.8893,298.5582,299.59552,322.36594,322.8304,297.5276,292.24075,270.26248,270.26248,270.26248,306.56253,304.86282,270.68988,344.77142,320.88382,270.69766,271.6488,272.45618,320.73926,334.2422,255.19525,321.91742,311.03207,311.074,320.58832,320.73926,297.48596,297.42606,300.4317,300.40332,320.7338,321.41245,302.0936,299.84796,298.96826,322.13916,320.48685,322.57486,322.21304,319.4234,331.98688,332.201,324.5933,-888.0,272.45618,321.89774,321.81015,322.08722,353.71274,320.47354,303.66693,322.81912
4,1980-08-13,298.21048,306.8177,298.11386,319.47223,298.4946,299.0298,321.3098,321.54602,297.77277,326.4311,307.0385,338.91647,344.82578,340.21976,295.92923,312.68655,345.9552,287.77365,339.09918,343.21976,345.84967,320.78934,321.26144,-888.0,-888.0,320.78934,329.116,325.2155,322.73846,322.30655,344.25772,350.61737,321.2181,321.18124,321.10333,310.45444,-888.0,323.76892,320.56085,322.85876,321.32275,298.4031,320.1893,320.50494,292.63885,321.075,322.05505,320.40665,329.50684,301.45016,329.13007,320.7406,320.8319,320.72595,309.42627,320.7582,322.24814,304.16708,-888.0,320.72595,321.14636,320.7746,321.98157,332.33978,321.13345,321.10333,316.9729,314.42468,334.2078,331.0333,296.6171,365.19882,322.19882,321.112,320.7278,321.4004,321.10333,318.69562,330.56665,320.80093,323.57858,320.77246,321.13345,346.24307,297.81705,301.61404,330.17947,324.23788,249.08269,321.0731,321.3761,294.6425,322.18237,320.41858,320.1893,322.45935,321.10333,300.1554,321.1993,320.43384,320.86932,320.0961,316.32126,298.14307,297.75772,296.1194,302.11124,295.11942,298.61865,299.63132,322.5501,323.01593,297.59564,291.2831,270.27945,270.27945,270.27945,306.70123,304.94995,270.7151,344.27664,320.96835,270.69888,271.67166,272.4863,320.8319,334.2078,255.29091,322.1349,311.16458,311.26227,320.70975,320.8319,297.5526,297.49188,301.07532,301.10468,320.85486,321.5096,302.85983,300.47644,299.36792,322.2388,320.60266,322.63196,322.29303,319.53137,331.907,332.3385,324.65213,-888.0,272.4863,322.062,321.86517,322.15195,354.53555,320.56195,304.52673,322.85876
5,1980-08-20,300.3766,309.8385,298.74936,319.67163,299.79684,300.28082,321.7769,321.80722,300.59396,326.72513,308.32382,340.27267,345.27484,340.41544,297.78177,313.47815,346.20377,290.56674,340.3142,343.55246,346.06442,321.23502,321.55627,-888.0,-888.0,321.23502,329.29156,325.51175,322.95624,322.51465,343.98544,375.20758,321.52966,321.50906,321.45703,310.5022,-888.0,324.0033,321.56882,322.9643,321.4367,298.53833,320.69775,321.00287,293.1747,321.45465,322.74652,320.90112,329.9504,301.4969,329.4504,321.1961,321.26553,321.1808,310.52307,321.20108,322.8188,306.7461,-888.0,321.1808,321.49066,321.21692,322.1818,332.52017,321.47556,321.45703,317.00446,315.56485,334.29703,331.30316,298.71115,366.04584,322.35208,321.4733,321.17157,321.62317,321.45703,319.1625,330.8923,321.28516,323.70374,321.2151,321.47556,347.773,298.62238,302.28745,330.47327,324.76443,249.60045,321.44107,321.63022,296.55585,322.34113,321.5092,320.69775,322.65607,321.45703,303.6211,321.6075,320.9374,321.29572,320.42282,316.78476,298.56946,297.8614,296.51672,303.25827,296.3298,299.07535,300.1516,323.19058,323.63828,298.06256,294.5375,270.42722,270.42722,270.42722,307.53867,305.65753,270.85507,343.99988,321.36893,270.8947,271.86566,272.62143,321.26553,334.29703,255.80281,322.67413,312.29797,312.6927,321.1935,321.26553,298.05856,298.0074,304.77716,304.9757,321.30563,321.87936,306.8427,304.0476,301.92517,322.5966,320.989,322.78857,322.54065,319.84232,332.08273,332.51715,324.83362,308.79108,272.62143,322.51126,322.08954,322.37418,356.68878,320.68008,309.1618,322.9643
6,1980-08-27,301.23776,309.3241,298.85822,319.91925,299.3517,299.81247,321.77383,321.97736,300.07675,326.9699,309.2289,340.6175,345.64163,340.81204,298.53494,314.29108,346.54526,291.26117,340.72104,343.8404,346.38498,321.37604,321.79053,-888.0,-888.0,321.37604,329.30902,325.7393,323.20523,322.74814,343.93277,373.4507,321.7572,321.72885,321.6677,310.54602,-888.0,324.1497,321.19058,323.1278,321.5376,298.72034,320.75522,321.0807,293.37863,321.64288,322.6655,320.98007,330.37967,301.54034,329.66443,321.32593,321.42203,321.31116,309.92935,321.35187,322.8588,307.2398,-888.0,321.31116,321.7015,321.36902,322.37115,332.5853,321.69385,321.6677,317.04684,315.90097,334.4003,331.5141,299.27542,363.52332,322.52213,321.67377,321.31573,321.8178,321.6677,319.17618,331.1385,321.38617,323.82874,321.36206,321.69385,347.69534,298.37244,302.12384,330.6821,324.71494,249.20804,321.65213,321.8674,296.07172,322.5549,321.03592,320.75522,322.89096,321.6677,303.1538,321.76727,320.90564,321.45712,320.5737,317.20908,298.75037,297.99777,296.7545,302.71194,296.52936,299.23987,300.28897,323.0961,323.56665,298.26453,295.55524,270.50775,270.50775,270.50775,307.1003,305.34827,270.94974,343.94772,321.54953,270.97137,271.94116,272.72424,321.42203,334.4003,255.57777,322.74536,311.7114,311.9288,321.2924,321.42203,298.24432,298.18512,303.36432,303.81775,321.44186,322.05966,305.94302,302.92117,301.01157,322.66745,321.07553,323.00754,322.77435,320.01688,332.105,332.66626,324.97797,308.93427,272.72424,322.6459,322.3182,322.60577,356.6854,320.80145,307.3399,323.1278
7,1980-09-03,300.79944,308.73227,298.69437,320.0003,298.98532,299.47504,321.70438,321.99307,299.51572,327.07507,309.04953,340.72522,345.79938,341.13333,298.1463,314.38022,346.73846,291.01025,340.85602,344.00732,346.59283,321.39188,321.8431,-888.0,-888.0,321.39188,329.29987,325.8324,323.30542,322.84354,343.98648,369.69153,321.80515,321.77243,321.70425,310.56702,-888.0,324.1022,321.16357,323.26202,321.62717,298.84622,320.76962,321.0923,293.40573,321.67294,322.6416,320.99362,330.6526,301.5652,329.74448,321.34,321.44122,321.3262,309.63632,321.37027,322.8344,306.72742,-888.0,321.3262,321.74072,321.3875,322.4036,332.6357,321.73337,321.70425,317.07935,315.85208,334.464,331.5847,298.82706,360.95752,322.57523,321.70862,321.33362,321.865,321.70425,319.08322,331.21756,321.39456,323.92026,321.3798,321.73337,346.68967,298.04807,301.9987,330.7561,324.68796,249.0382,321.68524,321.93246,295.6408,322.66428,320.99127,320.76962,322.9939,321.70425,302.4964,321.79282,320.821,321.4774,320.56436,317.41647,298.72968,298.11594,296.7853,302.64764,296.60358,299.16577,300.1077,323.0485,323.5428,298.2041,295.70816,270.4706,270.4706,270.4706,306.83167,305.1278,270.95538,344.0016,321.5751,270.8176,271.88565,272.74872,321.44122,334.464,255.58556,322.71658,311.42557,311.63126,321.30176,321.44122,298.15527,298.08673,302.7512,303.13547,321.44528,322.09634,305.22446,302.28842,300.5233,322.6062,321.03973,323.12994,322.85455,320.0131,332.13815,332.72498,324.94067,308.44186,272.74872,322.65283,322.40097,322.69336,355.46835,320.92084,306.6041,323.26202
8,1980-09-10,300.04892,307.76132,298.04727,319.96985,298.10654,298.60876,321.42154,321.88324,298.41437,327.12985,308.71332,340.60837,345.87195,341.38443,297.4147,314.28384,346.86728,290.15143,340.78055,344.14017,346.73654,321.36536,321.8528,-888.0,-888.0,321.36536,329.21,325.86475,323.35376,322.893,344.03595,363.7844,321.81046,321.77393,321.69815,310.57913,-888.0,323.92255,320.90244,323.35867,321.71085,298.93414,320.72464,321.05197,293.24503,321.66376,322.50406,320.95367,330.7828,301.5857,329.76813,321.31168,321.41498,321.2969,308.79013,321.3391,322.76462,305.97855,-888.0,321.2969,321.73862,321.35672,322.3191,332.63376,321.72964,321.69815,317.109,315.65256,334.49304,331.61383,298.03027,358.9012,322.51273,321.70297,321.30408,321.80627,321.69815,318.74384,331.25223,321.36157,323.99475,321.3512,321.72964,345.57553,297.27228,301.3533,330.78073,324.49203,248.66145,321.67358,321.95438,294.67703,322.7286,320.65637,320.72464,323.049,321.69815,301.3135,321.77872,320.50052,321.45374,320.4007,317.53653,298.3774,298.21075,296.62613,302.16122,296.32062,298.65485,299.2755,322.83588,323.3493,297.79916,294.5933,270.30975,270.30975,270.30975,306.12704,304.42273,270.8742,344.05185,321.55786,270.4184,271.68475,272.7068,321.41498,334.49304,255.47192,322.67178,310.59763,310.73972,321.26807,321.41498,297.69913,297.61877,301.36255,301.76114,321.42792,322.09235,303.8932,300.96518,299.3847,322.36035,320.82635,323.20297,322.8906,319.85403,332.1097,332.75146,324.79086,307.75122,272.7068,322.63083,322.43988,322.73645,354.17508,321.02866,305.0153,323.35867
9,1980-09-17,299.5712,307.60272,297.8009,319.85767,297.99716,298.50452,321.34305,321.77734,298.1895,327.16092,308.42984,340.7999,345.9499,341.56302,296.98132,314.13522,346.9517,289.86154,340.96527,344.2765,346.83252,321.3984,321.87537,-888.0,-888.0,321.3984,329.1413,325.8831,323.37332,322.92218,344.0203,363.81213,321.83347,321.79764,321.72223,310.591,-888.0,323.7916,320.98056,323.42526,321.8085,298.9807,320.7697,321.09387,293.08356,321.69086,322.536,320.99573,330.81717,301.6106,329.78577,321.3463,321.44583,321.33154,308.75946,321.3707,322.7897,305.61078,-888.0,321.33154,321.76324,321.38815,322.20514,332.63815,321.7528,321.72223,317.13922,315.58978,334.49515,331.62982,297.62112,358.83206,322.40723,321.72873,321.33676,321.71307,321.72223,318.63174,331.27774,321.39996,324.06134,321.38342,321.7528,344.75037,297.15594,301.16956,330.79663,324.45914,248.74692,321.6969,321.97888,294.5242,322.7697,320.73206,320.7697,323.07886,321.72223,301.03064,321.80902,320.42502,321.48395,320.2843,317.65393,298.1807,298.27698,296.457,302.16385,296.1545,298.4216,298.97223,322.81323,323.33713,297.5825,293.81363,270.20926,270.20926,270.20926,306.0729,304.31317,270.79425,344.0361,321.58554,270.30685,271.57236,272.6539,321.44583,334.49515,255.53633,322.70044,310.56946,310.74017,321.3068,321.44583,297.47446,297.39297,301.2949,301.61697,321.46057,322.11984,303.69446,300.83533,299.28442,322.25696,320.72522,323.2439,322.9137,319.72202,332.09573,332.76248,324.66144,307.49988,272.6539,322.65512,322.4696,322.76483,353.2743,321.1336,305.00604,323.42526
